,Metric,Value,Additional Info
0,Total Trades,6.0,6 executed trades
1,Profitable Trades,4.0,66.7% of total trades
2,Losing Trades,2.0,33.3% of total trades
3,Total Profit,0.020000000000010232,$0.02
4,Maximum Investment,438.88,$438.88
5,Average Maximum Investment,438.88,$438.88
6,Return on Investment (ROI),0.004557054320089827,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0033333333333350388,$0.00
8,Average Winning Trade,0.020600000000001728,$0.02
9,Average Losing Trade,-0.03119999999999834,$-0.03
10,Profit Factor,1.3205128205130015,1.32x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
