,Metric,Value,Additional Info
0,Total Trades,9.0,9 executed trades
1,Profitable Trades,5.0,55.6% of total trades
2,Losing Trades,4.0,44.4% of total trades
3,Total Profit,-0.03999999999999204,$-0.04
4,Maximum Investment,472.2,$472.20
5,Average Maximum Investment,472.2,$472.20
6,Return on Investment (ROI),-0.008470986869968666,-0.01% (based on avg max investment)
7,Average Profit per Trade,-0.004444444444443561,$-0.00
8,Average Winning Trade,0.014000000000001478,$0.01
9,Average Losing Trade,-0.027499999999999858,$-0.03
10,Profit Factor,0.6363636363637069,0.64x return ratio
11,Stop Loss Hit Rate,11.11111111111111,11.1% of total trades
