,Metric,Value,Additional Info
0,Total Trades,6.0,6 executed trades
1,Profitable Trades,4.0,66.7% of total trades
2,Losing Trades,2.0,33.3% of total trades
3,Total Profit,0.0,$0.00
4,Maximum Investment,438.52,$438.52
5,Average Maximum Investment,438.52,$438.52
6,Return on Investment (ROI),0.0,0.00% (based on avg max investment)
7,Average Profit per Trade,0.0,$0.00
8,Average Winning Trade,0.015000000000000568,$0.02
9,Average Losing Trade,-0.030000000000001137,$-0.03
10,Profit Factor,1.0,1.00x return ratio
11,Stop Loss Hit Rate,0.0,0.0% of total trades
